East_m,North_m,Depth_m
567916.282,4470193.646,0.788
567915.265,4470193.909,0.8
567914.42,4470194.157,0.787
567913.545,4470194.232,0.921
567912.783,4470194.285,0.965
567912.142,4470194.381,0.813
567911.015,4470194.466,0.702
567910.316,4470194.692,0.657
567909.061,4470195.052,0.429
567907.749,4470202.401,0.308
567908.74,4470202.514,0.417
567909.654,4470202.72,0.591
567910.371,4470203.06,0.593
567911.336,4470203.153,0.576
567912.253,4470203.247,0.594
567913.372,4470203.11,0.668
567914.189,4470202.956,0.732
567915.06,4470202.891,0.718
567915.994,4470202.766,0.74
567917.089,4470202.881,0.802
567917.835,4470202.972,0.813
567918.591,4470206.735,1.028
567917.864,4470207.005,0.866
567917.179,4470207.405,0.743
567916.125,4470207.643,0.752
567914.868,4470208.09,0.754
567914.006,4470208.318,0.683
567912.968,4470208.547,0.625
567911.941,4470208.683,0.506
567914.836,4470216.202,0.891
567912.03,4470219.554,0.598
567912.361,4470220.276,0.728
567913.348,4470220.37,0.754
567913.946,4470220.489,0.962
567913.43,4470225.641,1.012
567911.046,4470225.726,0.971
567909.476,4470225.756,0.877
567914.172,4470236.159,0.231
567915.863,4470236.105,0.194
567917.601,4470236.295,0.465
567918.909,4470236.407,0.565
567919.712,4470236.415,0.591
567920.531,4470236.032,0.573
567916.972,4470245.035,0.621
567917.742,4470245.023,0.723
567918.47,4470244.935,0.744
567919.025,4470244.955,0.786
567915.106,4470251.293,0.516
567916.344,4470251.354,0.683
567917.449,4470251.655,0.704
567913.025,4470258.251,0.458
567914.033,4470258.493,0.495
567915.078,4470258.491,0.449
567915.86,4470258.368,0.527
567916.809,4470258.367,0.585
567917.534,4470258.377,0.617
567918.471,4470258.479,0.643
567919.507,4470258.449,0.665
567920.359,4470258.439,0.743
567920.968,4470258.458,0.738
567907.698,4470274.832,0.11
567908.656,4470274.777,0.29
567909.627,4470274.766,0.432
567911.651,4470275.204,0.48
567913.246,4470281.378,0.353
567914.228,4470281.229,0.467
567915.084,4470281.188,0.619
567915.951,4470281.221,0.707
567916.86,4470281.123,0.816
567917.695,4470281.249,0.85
567916.331,4470287.734,0.106
567916.737,4470287.075,0.344
567917.459,4470286.823,0.718
567917.84,4470286.651,0.807
567918.538,4470286.656,0.877
567919.122,4470286.614,0.908
567919.774,4470286.509,0.888
567923.382,4470328.729,0.635
567924.436,4470328.766,0.749
567925.499,4470328.493,0.788
567926.767,4470328.482,0.834
567927.552,4470327.763,0.968
567926.178,4470338.732,0.316
567927.404,4470338.505,0.232
567928.266,4470338.25,0.41
567929.121,4470338.062,0.652
567929.902,4470337.855,0.829
567930.75,4470337.9,0.864
567931.463,4470337.838,0.87
567932.178,4470337.855,0.85
567932.693,4470337.909,0.869
567930.212,4470346.981,0.513
567931.107,4470346.668,0.884
567931.91,4470346.54,0.885
567932.884,4470346.331,0.97
567933.566,4470346.213,0.992
567934.396,4470346.243,0.969
567935.107,4470358.2,0.562
567935.946,4470358.164,0.618
567936.842,4470358.152,0.804
567936.152,4470364.628,0.465
567937.6,4470364.776,0.627
567938.286,4470364.866,0.626
567938.829,4470374.101,0.3
567939.166,4470373.954,0.382
567939.853,4470373.913,0.619
567940.634,4470374.071,0.628
567941.275,4470374.052,0.737
567939.77,4470378.439,0.506
567940.59,4470378.416,0.625
567941.144,4470378.355,0.691
568083.126,4470770.667,1.436
568083.472,4470770.495,1.508
568083.872,4470770.318,1.513
568084.291,4470770.151,1.554
568084.751,4470769.99,1.593
568085.225,4470769.826,1.57
568085.701,4470769.68,1.62
568086.164,4470769.554,1.641
568086.529,4470769.476,1.672
568086.862,4470769.448,1.7
568087.112,4470769.393,1.72
568087.278,4470769.289,1.75
568087.38,4470769.199,1.756
568087.416,4470769.165,1.761
568087.45,4470769.145,1.761
568087.454,4470769.122,1.76
568087.384,4470769.125,1.756
568087.291,4470769.152,1.753
568087.169,4470769.182,1.753
568087.026,4470769.222,1.74
568086.865,4470769.269,1.723
568086.704,4470769.317,1.712
568086.548,4470769.361,1.705
568086.375,4470769.433,1.661
568086.208,4470769.501,1.633
568086.032,4470769.56,1.631
568085.884,4470769.669,1.631
568085.788,4470769.898,1.557
568085.744,4470770.255,1.557
568085.76,4470770.706,1.625
568085.809,4470771.243,1.618
568085.863,4470771.856,1.63
568085.924,4470772.568,1.628
568085.989,4470773.304,1.605
568085.985,4470774.022,1.618
568085.967,4470774.696,1.547
568085.908,4470775.277,1.549
568085.819,4470775.847,1.513
568085.686,4470776.353,1.483
568085.542,4470776.809,1.465
568085.347,4470777.236,1.424
568085.117,4470777.642,1.398
568084.83,4470778.031,1.363
568084.606,4470778.367,1.376
568084.402,4470778.737,1.358
568084.233,4470779.099,1.332
568084.052,4470779.459,1.294
568083.884,4470779.805,1.268
568083.738,4470780.154,1.21
