Latitude_WGS84,Longitude_WGS84,Elev_m_NAVD88
41.540327,-83.692011,176.18
41.540327,-83.692015,176.13
41.540327,-83.692019,176.13
41.540328,-83.692023,176.12
41.540329,-83.692027,176.12
41.540330,-83.692032,176.20
41.540332,-83.692037,176.21
41.540336,-83.692044,176.32
41.540338,-83.692050,176.31
41.540342,-83.692055,176.40
41.540346,-83.692063,176.45
41.540349,-83.692069,176.47
41.540353,-83.692075,176.49
41.540357,-83.692083,176.50
41.540360,-83.692089,176.48
41.540363,-83.692095,176.48
41.540366,-83.692101,176.47
41.540370,-83.692107,176.47
41.540373,-83.692113,176.48
41.540378,-83.692121,176.47
41.540381,-83.692128,176.48
41.540384,-83.692134,176.49
41.540388,-83.692141,176.51
41.540392,-83.692149,176.54
41.540396,-83.692156,176.59
41.540401,-83.692166,176.60
41.540406,-83.692173,176.58
41.540410,-83.692181,176.63
